fold,station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
4,KAUB,14,1.6639911902922182,1.8685093324842257,3.4913271255806464,-4.031618504513284,-1.6639911902922182,1.5026555365064382,2.7071087708077486,3.226285909496582
4,REES,15,1.6461775146847515,1.730112617714507,2.9932896699749434,-24.903468297860098,1.6461775146847515,1.5227454316700602,2.2748324332853853,2.894457385234986
4,WORMS,15,1.4685507832647309,1.7242685779444897,2.9731021288867128,-4.309110944440559,1.430506384113383,1.717290381880133,2.033853389113753,3.8929452125187822
4,EMMERICH,14,1.3240183755086352,1.5665687067029963,2.4541375128210983,-8.816550051284393,-1.3240183755086352,1.4119125427838704,2.228313724606399,3.0457188522090703
4,BINGEN,14,1.4760984582967558,1.5554106439807076,2.4193022714084793,-9.537405448801376,-1.4760984582967558,1.2287338531815024,2.1454757906436086,2.171264593435353
4,RHEINWEILER,15,1.2481859362898566,1.5036209561721952,2.2608759798401867,-2.101811557707573,1.2481859362898566,1.1627033711710624,2.1627033711710624,2.1627033711710624
4,BONN,14,1.1604575088726798,1.4400901868087252,2.073859746142789,-1.9887978694410782,1.098665620844644,1.161576618474129,2.311764303866079,2.5005957083957355
4,DÜSSELDORF,14,1.2131100520857916,1.4119172364473298,1.9935102825770648,-7.14016698718968,-0.27393740028197805,1.1991684689118642,2.1555790884947443,2.305726535595383
4,WESEL,15,1.153598777951428,1.320806772914958,1.744530531378025,-1.929249026567578,1.0350691609419451,1.2335526190958603,2.0571210008875878,2.323183876038172
4,SPEYER,15,1.0644382104293526,1.1614413464508655,1.3489460012455996,-20.67948930573285,1.0644382104293526,0.9771534405415423,1.3768411414602497,2.4373249622032063
4,KÖLN,15,0.8782043173116392,1.0155296232398356,1.0313004156776426,-2.5157968716283263,-0.8686351935857658,0.8384196658343228,1.6797118699551958,1.7655338870039827
4,LOBITH,21,0.6101039049574248,0.7501821412507144,0.5627732450515067,-0.5133109821202102,0.10404940942346673,0.6140489236610165,1.278409637390837,1.7537429080882703
4,KONSTANZ-RHEIN,14,0.4217390978249479,0.5628129129278608,0.3167583749583439,-1.5868600621598095,0.4217390978249479,0.3044969633521646,0.9451464728146741,1.4335176418131823
4,DUISBURG-MEIDERICH SCHLEUSE UW,210,0.25966962907617885,0.3566250803760125,0.12718144795319736,-6001.463457549497,-0.2576653740726686,0.147962725037166,0.652222395958244,0.6722934637061719
4,DUISBURG-MEIDERICH SCHLEUSE OW,210,0.2575091297322419,0.35280894201311375,0.12447414956441266,-333.2737611311189,-0.25652121321142957,0.15472253018926452,0.6492602466279571,0.6621175243315385
5,SPEYER,2,80.3471540429683,80.34835160408407,6455.85760549352,-25822.43042197408,-80.3471540429683,80.3471540429683,80.6981003650578,80.78583694558017
5,MAXAU,2,79.86590482228658,79.87067469687494,6379.324676534019,-6378.324676534019,-79.86590482228658,79.86590482228658,80.5642106356286,80.7387870889641
5,MANNHEIM,2,72.89996537227078,72.90456494710772,5315.075590127048,-21259.30236050819,-72.89996537227078,72.89996537227078,73.5551057108332,73.71889079547381
5,SANKT GOAR,2,69.29933564504648,69.3159538314477,4804.701455563389,-2134.4228691392836,-69.29933564504648,69.29933564504648,70.51352764793972,70.81707564866304
5,KOBLENZ,2,66.63676363051945,66.65038611716821,4442.273969567608,-1973.3439864744926,-66.63676363051945,66.63676363051945,67.7147476505537,67.98424365556227
5,WORMS,2,65.78380248255144,65.78384342279679,4327.514055475044,0.0,-65.78380248255144,65.78380248255144,65.84251622447093,65.85719465995079
5,DUISBURG-RUHRORT,2,64.16892306370985,64.17521281186562,4118.457939448242,-16472.831757792967,-64.16892306370985,64.16892306370985,64.88770082270997,65.06739526246
5,WESEL,2,63.49029899676431,63.49326985719184,4031.395317158186,-4030.395317158186,-63.49029899676431,63.49029899676431,63.981664740563474,64.10450617651327
5,IFFEZHEIM,2,62.39882294632433,62.47338678316759,3902.9240561592587,-432.65822846213985,-62.39882294632433,62.39882294632433,64.83993103209544,65.4502080535382
5,DÜSSELDORF,2,62.382414321295926,62.38310704416074,3891.652044483217,0.0,-62.382414321295926,62.382414321295926,62.61760334061821,62.67640059544878
5,KÖLN,2,61.633433327239615,61.636146708595206,3799.014581083472,-15195.058324333888,-61.633433327239615,61.633433327239615,62.096105482567765,62.211773521399806
5,KAUB,2,59.36666133027815,59.38555115231947,3526.6436856647524,-1566.397193628779,-59.36666133027815,59.36666133027815,60.56484880430637,60.86439567281343
5,REES,2,58.00387534694561,58.00632788233356,3364.7340743927875,-13457.93629757115,-58.00387534694561,58.00387534694561,58.43059802318968,58.537278692250695
5,BONN,2,56.8298585006647,56.830085694352675,3229.6586400274687,0.0,-56.8298585006647,56.8298585006647,56.958414348505485,56.990553310465685
5,MAINZ,2,53.54006897807204,53.543029735879706,2866.8560332972984,-11466.424133189194,-53.54006897807204,53.54006897807204,53.990524477733025,54.10313835264827
5,BINGEN,2,51.08225464115,51.08244950808626,2609.416647746182,0.0,-51.08225464115,51.08225464115,51.19513269327023,51.22335220630029
5,EMMERICH,2,47.35549829568377,47.36917777156209,2243.8390027538526,0.0,-47.35549829568377,47.35549829568377,48.26615833634669,48.49382334651242
5,KONSTANZ-RHEIN,2,40.31169804677913,40.31180152520875,1625.0413422078223,0.0,-40.31169804677913,40.31169804677913,40.384769160091665,40.4030369384198
5,LOBITH,15,9.330114328426907,22.80336459891173,519.9934370309009,-0.2363265140642128,-9.227625193253834,1.031596132351865,37.61042716356815,63.36230013465115
5,RHEINE UNTERSCHLEUSE,2,14.768090376045365,14.801556640183774,219.08607897256837,0.0,-14.768090376045365,14.768090376045365,15.563913720271824,15.76286955632844
5,Koblenz UP,1,12.613079641273409,12.613079641273409,159.08977803710573,,-12.613079641273409,12.613079641273409,12.613079641273409,12.613079641273409
5,Basel-Rheinhalle,52,10.245841713034222,12.053247684597974,145.2807797462664,-0.899242063594587,7.998600589227607,11.125470437811089,16.469332842697007,30.235708017949037
5,BREISACH,2,9.620135086920314,9.845029474221858,96.92460534829712,-14.50793685572754,-9.620135086920314,9.620135086920314,11.29395347758555,11.712408075251858
5,RHEINWEILER,2,3.5933690620909857,3.6153947732617655,13.071079366528494,-51.284317466113976,-3.5933690620909857,3.5933690620909857,3.912144870594298,3.9918388227201262
5,Koblenz OP,2,2.836307562757611,3.349573091298242,11.219639893949262,-10.219639893949262,-2.836307562757611,2.836307562757611,4.261789780875984,4.618160335405577
5,DUISBURG-MEIDERICH SCHLEUSE UW,352,0.5236969369867203,0.5917858855891036,0.3502105343824797,-134.74065308230473,0.5102509041612857,0.700025864442825,0.724324221321119,0.8736587123798003
5,DUISBURG-MEIDERICH SCHLEUSE OW,352,0.19697183253673325,0.22395626637479366,0.05015640924853753,-264.5440166955971,0.18726160148604515,0.24228566676961982,0.3238457554033616,0.45978384607301237
